id,kind,n,label,max_phi,mean_phi,n_reachable,edges,mediator_depends_both,strict_mediation,back_channel,parity_present,mediator_fn
242,triad,3,"W=FALSE,S=TRUE,C=W&~C",0.0,0.0,2,2,0,0,1,0,(none)
243,triad,3,"W=FALSE,S=TRUE,C=~C",0.0,0.0,2,1,0,0,1,0,(none)
244,triad,3,"W=FALSE,S=TRUE,C=~W&C",0.0,0.0,2,2,0,0,1,0,(none)
245,triad,3,"W=FALSE,S=TRUE,C=~W",0.0,0.0,2,1,0,0,0,0,(none)
246,triad,3,"W=FALSE,S=TRUE,C=XOR",0.0,0.0,2,2,0,0,1,1,(none)
247,triad,3,"W=FALSE,S=TRUE,C=NAND",0.0,0.0,2,2,0,0,1,0,(none)
248,triad,3,"W=FALSE,S=TRUE,C=AND",0.0,0.0,2,2,0,0,1,0,(none)
249,triad,3,"W=FALSE,S=TRUE,C=XNOR",0.0,0.0,2,2,0,0,1,1,(none)
250,triad,3,"W=FALSE,S=TRUE,C=copyA",0.0,0.0,2,1,0,0,0,0,(none)
251,triad,3,"W=FALSE,S=TRUE,C=A|~B",0.0,0.0,2,2,0,0,1,0,(none)
252,triad,3,"W=FALSE,S=TRUE,C=copyB",0.0,0.0,2,1,0,0,1,0,(none)
253,triad,3,"W=FALSE,S=TRUE,C=~A|B",0.0,0.0,2,2,0,0,1,0,(none)
254,triad,3,"W=FALSE,S=TRUE,C=OR",0.0,0.0,2,2,0,0,1,0,(none)
255,triad,3,"W=FALSE,S=TRUE,C=TRUE",0.0,0.0,1,0,0,0,0,0,(none)
256,triad,3,"W=NOR,S=FALSE,C=FALSE",0.0,0.0,2,2,0,0,1,0,(none)
257,triad,3,"W=NOR,S=FALSE,C=NOR",0.0,0.0,4,4,0,0,1,0,(none)
258,triad,3,"W=NOR,S=FALSE,C=W&~C",0.0,0.0,3,4,0,0,1,0,(none)
259,triad,3,"W=NOR,S=FALSE,C=~C",0.0,0.0,4,3,0,0,1,0,(none)
260,triad,3,"W=NOR,S=FALSE,C=~W&C",0.0,0.0,4,4,0,0,1,0,(none)
261,triad,3,"W=NOR,S=FALSE,C=~W",0.0,0.0,3,3,0,0,1,0,(none)
262,triad,3,"W=NOR,S=FALSE,C=XOR",0.0,0.0,4,4,0,0,1,1,(none)
