idx,n_edges,n_bidir,strongly_connected,syn_sum,syn_min,syn_max,n_fixed,n_reachable,invertible,max_period,triadic,max_phi
514,8,3,0,3.0,0.0,1.0,2,6,0,1,0,0.000000
515,7,4,1,2.0,0.0,1.0,1,10,0,2,1,0.415037
516,4,3,0,1.0,0.0,1.0,1,6,0,3,0,0.000000
517,4,2,0,0.0,0.0,0.0,2,8,0,2,0,0.000000
518,4,1,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
519,5,3,0,2.0,0.0,1.0,2,6,0,2,0,0.000000
520,3,0,0,0.0,0.0,0.0,1,4,0,1,0,0.000000
521,6,3,0,1.0,0.0,1.0,1,6,0,1,0,0.000000
522,5,2,0,2.0,0.0,1.0,2,5,0,2,0,0.000000
523,5,4,1,1.0,0.0,1.0,2,12,0,1,1,2.000000
524,6,4,1,2.0,0.0,1.0,2,9,0,2,0,0.000000
525,6,4,0,2.0,0.0,1.0,1,9,0,4,0,0.000000
526,8,4,1,3.0,0.0,1.0,3,8,0,1,1,0.830075
527,7,4,1,1.0,0.0,1.0,1,12,0,4,1,0.415037
528,8,4,1,3.0,0.0,1.0,0,9,0,6,1,0.830075
529,8,4,1,3.0,0.0,1.0,1,9,0,4,1,0.830075
530,7,4,1,3.0,0.0,1.0,1,10,0,1,1,0.276692
531,6,3,0,2.0,0.0,1.0,1,5,0,1,0,0.000000
532,8,4,1,3.0,0.0,1.0,0,9,0,4,1,0.830075
