idx,n,density,noise,ergodic,psi,i,log2_kappa,H_pi,h_pi,phi_psi,phi_mean,phi_max,phi_piw,gates,phi_wms,stochastic_interaction,total_correlation,causal_density,integrated_synergy,tdmi
50,3,0.5,0.0,0,1.0943609377704335,1.9056390622295665,3.0,1.9056390622295665,0.0,-0.5662047250716994,0.6666666666666666,2.0,0.0,majority|parity|copy,0.0,1.8568441214515574,0.04879494073670432,0.30947402025569465,-0.04879494069539869,1.9056390622295662
51,3,0.5,0.0,0,2.4564355568004035,0.5435644431995964,3.0,0.5435644431995964,0.0,0.13450746191304974,0.6666666666666666,2.0,0.25,and|parity|or,-0.5435644431995963,0.0,1.0871288863991926,0.0,-0.5435644431995963,0.5435644431995963
52,3,0.5,0.0,0,2.0,1.0,3.0,1.0,0.0,-0.32192809488735374,0.0,0.0,0.0,or|copy|copy,-1.0,0.0,2.0,0.0,-1.0,1.0
53,3,0.5,0.0,0,0.75,2.25,3.0,2.25,0.0,-0.18372698988389624,0.0,0.0,0.0,or|parity|majority,-0.2935644431995963,1.9999999999173894,0.2935644431995965,0.3852130207431888,-0.2935644431995963,2.25
54,3,0.5,0.0,0,2.0,1.0,3.0,1.0,0.0,-0.32192809488735374,0.0,0.0,0.0,or|or|copy,-1.0,0.0,2.0,0.0,-1.0,1.0
55,3,0.5,0.0,0,2.4564355568004035,0.5435644431995964,3.0,0.5435644431995964,0.0,0.13450746191304974,0.4830074998557688,2.0,0.25,majority|or|majority,-0.5435644431995963,2.5849394142282115e-26,1.0871288863991926,0.0,-0.5435644431995963,0.5435644431995963
56,3,0.5,0.0,0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,parity|parity|copy,1.0,2.999999999876084,0.0,0.3333333333333333,0.0,3.0
57,3,0.5,0.0,0,1.5,1.5,3.0,1.5,0.0,-0.8219280948873537,0.0,0.0,0.0,copy|parity|or,-0.8112781244591328,0.0,1.1225562489182659,0.0,-0.8112781244591328,1.5
58,3,0.5,0.0,0,0.75,2.25,3.0,2.25,0.0,-0.18372698988389624,0.0,0.0,0.0,copy|copy|or,-0.2935644431995963,1.9999999999173894,0.2935644431995965,0.38521302074318875,-0.2935644431995963,2.25
59,3,0.5,0.0,0,1.188721875540867,1.811278124459133,3.0,1.811278124459133,0.0,-1.1332062193464867,0.0,0.0,0.0,parity|and|majority,-0.8112781244591328,0.0,0.8112781244591329,0.0,-0.8112781244591328,1.8112781244591327
60,3,0.5,0.05,1,1.73178884754161,0.4090202811105218,3.859190871347869,1.2682111524583903,0.8591908713478685,-0.5299049258997205,0.0,0.0,0.0,and|and|copy,0.018292661547997024,0.33740124390461346,0.07687014484632182,0.06002901639095873,-0.05237371989431859,0.4090202811122982
